sno,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,sarima,Lasso ,Ridge ,Random Forest ,Adaboost ,XGBoost,tot
220.0,19.444444444444446,19.444444444444446,16.666666666666664,16.666666666666664,16.666666666666664,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,36
221.0,27.500000000000004,30.0,20.0,25.0,20.0,15.0,15.0,15.0,15.0,15.0,40
222.0,16.666666666666664,16.666666666666664,13.333333333333334,16.666666666666664,16.666666666666664,10.0,10.0,10.0,10.0,10.0,30
223.0,22.5,25.0,17.5,20.0,17.5,12.5,12.5,12.5,12.5,12.5,40
224.0,17.5,15.0,10.0,12.5,12.5,7.5,7.5,7.5,7.5,7.5,40
225.0,22.5,25.0,15.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,40
226.0,18.75,21.875,15.625,18.75,15.625,9.375,9.375,9.375,9.375,9.375,32
227.0,15.0,15.0,10.0,12.5,10.0,7.5,7.5,7.5,7.5,7.5,40
228.0,18.75,18.75,12.5,12.5,12.5,6.25,6.25,6.25,6.25,6.25,32
229.0,26.47058823529412,0.0,0.0,0.0,,,,,,,34
230.0,22.22222222222222,25.0,13.88888888888889,19.444444444444446,13.88888888888889,,,,,,36
231.0,20.0,20.0,15.0,17.5,15.0,,,,,,40
232.0,18.181818181818183,15.909090909090908,11.363636363636363,13.636363636363635,13.636363636363635,,,,,,44
233.0,14.000000000000002,10.0,6.0,8.0,6.0,,,,,,50
234.0,21.052631578947366,21.052631578947366,13.157894736842104,15.789473684210526,13.157894736842104,,,,,,38
235.0,16.666666666666664,16.666666666666664,13.333333333333334,16.666666666666664,4608169794906.667,,,,,,30
236.0,25.0,27.77777777777778,16.666666666666664,22.22222222222222,16.666666666666664,,,,,,36
237.0,36.84210526315789,15.789473684210526,10.526315789473683,13.157894736842104,,,,,,,38
238.0,18.75,18.75,15.625,15.625,15.625,,,,,,32
241.0,23.684210526315788,26.31578947368421,15.789473684210526,21.052631578947366,15.789473684210526,,,,,,38
242.0,17.5,15.0,12.5,12.5,15.0,,,,,,40
243.0,16.666666666666664,16.666666666666664,10.0,13.333333333333334,6.343398010138126e+19,,,,,,30
244.0,19.565217391304348,19.565217391304348,15.217391304347828,17.391304347826086,15.217391304347828,,,,,,46
245.0,20.454545454545457,22.727272727272727,15.909090909090908,18.181818181818183,18.181818181818183,,,,,,44
246.0,12.5,10.0,7.5,7.5,7.5,,,,,,40
247.0,20.588235294117645,17.647058823529413,8.823529411764707,14.705882352941178,11.76470588235294,,,,,,34
248.0,21.875,25.0,15.625,18.75,15.625,,,,,,32
249.0,21.875,21.875,18.75,21.875,21.875,,,,,,32
250.0,21.052631578947366,18.421052631578945,13.157894736842104,15.789473684210526,15.789473684210526,,,,,,38
251.0,25.0,25.0,16.666666666666664,19.444444444444446,16.666666666666664,,,,,,36
252.0,20.588235294117645,17.647058823529413,14.705882352941178,17.647058823529413,17.647058823529413,,,,,,34
253.0,23.52941176470588,26.47058823529412,17.647058823529413,20.588235294117645,17.647058823529413,,,,,,34
254.0,18.96551724137931,18.96551724137931,12.068965517241379,15.517241379310345,12.068965517241379,,,,,,58
255.0,23.333333333333332,23.333333333333332,16.666666666666664,20.0,20.0,,,,,,30
256.0,17.5,15.0,10.0,12.5,10.0,,,,,,40
257.0,23.52941176470588,26.47058823529412,14.705882352941178,20.588235294117645,14.705882352941178,,,,,,34
258.0,20.0,20.0,15.0,17.5,17.5,,,,,,40
259.0,19.444444444444446,19.444444444444446,16.666666666666664,16.666666666666664,16.666666666666664,,,,,,36
260.0,16.666666666666664,11.11111111111111,8.333333333333332,11.11111111111111,8.333333333333332,,,,,,36
261.0,25.0,29.545454545454547,15.909090909090908,22.727272727272727,15.909090909090908,,,,,,44
262.0,21.428571428571427,21.428571428571427,14.285714285714285,17.857142857142858,14.285714285714285,,,,,,28
263.0,18.421052631578945,18.421052631578945,13.157894736842104,15.789473684210526,15.789473684210526,,,,,,38
265.0,16.666666666666664,13.333333333333334,6.666666666666667,10.0,10.0,,,,,,30
